ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T09:29:19Z,1,ENTRY,FILLED,7212566,0.00441000,299.93596290,,,,,ok side=BUY mode=long_first mass=300.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=5.60356368
2026-02-27T09:30:46Z,1,EXIT,FILLED,7213025,0.00441000,299.97565290,0.03969000,exit_stall,87,68021.69000000,ok side=SELL mode=long_first soft=0
2026-02-27T09:31:01Z,2,SKIP,SKIPPED,,,,,,,68022.03000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:31:15Z,3,SKIP,SKIPPED,,,,,,,68024.10000000,radar_block reason=momentum_too_small conf=0.6793 mom_bps=0.10192998 spread_bps=0.00150000
2026-02-27T09:31:30Z,4,SKIP,SKIPPED,,,,,,,68024.10000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049005 spread_bps=0.00150000
2026-02-27T09:31:44Z,5,SKIP,SKIPPED,,,,,,,68022.35000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049005 spread_bps=0.00150000
2026-02-27T09:31:58Z,6,SKIP,SKIPPED,,,,,,,68020.33000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:32:13Z,7,SKIP,SKIPPED,,,,,,,68012.71000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:32:28Z,8,SKIP,SKIPPED,,,,,,,68028.84000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:32:43Z,9,SKIP,SKIPPED,,,,,,,68020.77000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:32:57Z,10,SKIP,SKIPPED,,,,,,,68010.32000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:33:12Z,11,SKIP,SKIPPED,,,,,,,68010.32000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:33:27Z,12,SKIP,SKIPPED,,,,,,,68005.13000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
